Date,FCHI,GDAXI,IBEX,NDX,N225,STI
1/6/2020,0.523010957,-0.925238114,-0.121781242,1.580931501,-1.928124233,-0.111152542
1/7/2020,-0.020617865,0.75769145,-0.220019022,-0.023388975,1.585568614,0.896905802
1/8/2020,0.309713107,0.703280675,0.121020982,0.742394186,-1.585997874,-0.060680318
1/9/2020,0.191324154,1.304350558,-0.100145898,0.863146527,2.279845704,0.048975711
1/10/2020,-0.090067808,-0.087106828,-0.085617599,-0.256069308,0.465225255,0.260477191
1/14/2020,0.062597684,-0.199105747,-0.47429722,0.742003993,0.7293898,0.447104411
1/15/2020,-0.137164456,-0.179929521,-0.174365695,0.024904409,-0.453008201,-0.41547413
1/16/2020,0.106363722,-0.021369562,0.637176409,0.983783075,0.069178189,0.643310081
1/17/2020,1.016346482,0.717481747,1.130176528,0.53261164,0.450778379,0.092392601
1/21/2020,-0.901155117,0.21963109,-0.725670035,-0.077431263,-0.737697504,-1.037358258
1/22/2020,-0.580748758,-0.29640004,-0.391969332,0.239171391,0.696467551,0.207965193
1/23/2020,-0.6541072,-0.946552368,-0.578250262,0.308606885,-0.986526898,-0.59705511
1/24/2020,0.874788992,1.396344368,0.455963684,-0.822631181,0.133299009,0.168658422
1/28/2020,-1.647556704,-1.880990604,-0.816963351,-0.554399531,-2.59976877,-1.830530748
1/29/2020,0.48937094,0.159809681,0.656828877,0.117418076,0.70260644,0.041486654
1/30/2020,-1.405662876,-1.4178717,-0.723275147,0.37811273,-1.732895308,-0.374301338
1/31/2020,-1.120572788,-1.340161517,-1.167382065,-1.595171417,0.984915977,-0.536018152
2/3/2020,0.449700219,0.485806572,0.392059171,1.487196354,-1.010206886,-1.193624444
2/4/2020,1.742802045,1.797066077,1.668148418,2.251729326,0.489184128,1.283638807
2/5/2020,0.844773438,1.469303918,1.606816611,0.357413716,1.012722824,1.370538084
2/6/2020,0.877951703,0.713341276,0.957552742,0.833872728,2.348030366,0.977051604
2/7/2020,-0.139712067,-0.45045354,-0.003055758,-0.475623187,-0.19122804,-1.561542241
2/10/2020,-0.233783206,-0.146470807,0.050950223,1.223618242,-0.597720838,-0.577815549
2/12/2020,1.469615881,1.87754582,1.259359323,1.007432978,0.737083547,1.885909687
2/13/2020,-0.190030659,-0.031646131,-0.308315382,-0.182207253,-0.140411901,-0.101809561
2/14/2020,-0.391203921,-0.008874085,0.473156842,0.290124314,-0.589877246,-0.001865152
2/18/2020,-0.206665065,-0.459571354,0.490919012,0.064609199,-2.106624047,-0.729359201
2/19/2020,0.894485606,0.784924471,0.774539759,0.919256284,0.888086782,0.532892759
2/20/2020,-0.804050301,-0.910653581,-1.524912504,-0.939712872,0.334690686,-0.468781742
2/21/2020,-0.538862304,-0.621584765,-0.452131289,-1.899340992,-0.394360485,-0.553315061
2/25/2020,-5.980568672,-5.984684506,-6.642985184,-6.695805642,-3.397994002,-0.719014559
2/26/2020,0.085700999,-0.122121079,0.710918798,0.439217622,-0.795981714,-1.297708688
2/27/2020,-3.380414419,-3.241190686,-3.616247549,-5.051090918,-2.15429281,-0.186863547
2/28/2020,-3.437480567,-3.934171279,-2.967056024,0.297779976,-3.73794859,-3.28703406
3/2/2020,0.443845248,-0.273532186,0.209563422,4.800863498,0.946738758,-0.111653729
3/3/2020,1.112188703,1.069658663,0.798719123,-3.2452779,-1.232017733,0.392883794
3/4/2020,1.321069467,1.180292468,1.110525059,4.045178515,0.082166583,0.180987343
3/5/2020,-1.917482222,-1.520198647,-2.58071504,-3.151285735,1.079732491,-0.223719218
3/6/2020,-4.228931012,-3.430801373,-3.604442083,-1.643105353,-2.75390365,-1.916353832
3/9/2020,-8.763578011,-8.276975013,-8.297308379,-7.070512958,-5.197852069,-6.221716332
3/10/2020,-1.526063973,-1.417328793,-3.259312007,5.200092624,0.851038298,1.787072484
3/12/2020,-13.66848719,-13.40687443,-15.48813782,-14.20425546,-6.80772226,-5.58646863
3/16/2020,-4.108723288,-4.680192714,-4.540665327,-3.406511287,-8.765555635,-7.071185625
3/17/2020,2.802589251,2.226727563,6.21029461,6.260633631,0.055802638,-1.666199813
3/18/2020,-6.119155608,-5.724997914,-3.502980012,-4.079579431,-1.689398408,-1.184809866
3/19/2020,2.64550024,1.978933278,1.909991353,1.567263735,-1.044023515,-4.840687876
3/23/2020,1.513838348,1.50675818,-2.623302814,-3.940228928,2.003315294,-3.411943303
3/24/2020,8.056082122,10.41428742,7.527779274,7.515650869,6.889893355,5.596900854
3/25/2020,4.37186877,1.774666864,3.296126289,-1.121058636,7.731376162,5.894642332
3/26/2020,2.479667205,1.274973691,1.299430007,5.565524415,-4.61742763,-0.717399603
3/27/2020,-4.319689578,-3.753625936,-3.697451701,-3.988256001,3.809939543,1.642673389
3/30/2020,0.619006146,1.886579823,-1.756285029,3.885379453,-1.582690502,-4.551645922
3/31/2020,0.40139299,1.213778294,1.866877597,-0.961761517,-0.883964618,2.654178816
4/1/2020,-4.391545395,-4.015714119,-3.082968981,-4.277965395,-4.606243614,-1.664569979
4/2/2020,0.325567471,0.272765382,-0.08058394,1.975604645,-1.374943929,0.521530983
4/3/2020,-1.585122215,-0.471821052,0.114019029,-1.418540328,0.008242396,-2.632773994
4/6/2020,4.507676743,5.607326499,3.913826883,7.095332019,4.155456327,3.346075713
4/7/2020,2.097653901,2.75596987,2.277966194,-0.401093548,1.992679696,4.018397145
4/8/2020,0.10088887,-0.230169449,-0.719523173,2.214374399,2.104644571,-1.269743454
4/9/2020,1.432492925,2.219008575,1.6944765,0.109183829,-0.038609273,1.247585112
4/14/2020,0.37782153,1.24000909,0.535997665,5.359952482,1.503397163,2.430059446
4/15/2020,-3.834599719,-3.974526356,-3.85907029,-1.159461018,-0.452785629,-1.107236068
4/16/2020,-0.081803955,0.211651172,-1.118892184,1.912128855,-1.338272758,0.256427298
4/17/2020,3.364465867,3.098974716,1.648226436,0.847976195,3.09848676,0.08992407
4/20/2020,0.64892295,0.470575175,-0.646370326,-1.206243602,-1.15321725,-0.642694204
