Material,Sector,Gross_Export,Pais
Isocyanates,Chemicals,93758,Canadá
Organo-sulfur compounds,Chemicals,199854,Canadá
Other organo-inorganic compounds,Chemicals,1151,Canadá
Heterocyclic compounds with nitrogen hetero-atom(s) only,Chemicals,51800932,Canadá
Nucleic acids and their salts,Chemicals,8369970,Canadá
Vitamins,Chemicals,28035,Canadá
Hormones,Chemicals,1654496,Canadá
Vegetable alkaloids,Chemicals,2783,Canadá
Other sugars_ chemically pure,Chemicals,2268,Canadá
Antibiotics,Chemicals,4517483,Canadá
Other organic compounds,Chemicals,48709,Canadá
Serums and vaccines,Chemicals,1049511,Canadá
Medicaments_ packaged,Chemicals,70321031,Canadá
Wadding_ gauze and bandages,Chemicals,2925395,Canadá
Pharmaceutical goods,Chemicals,14359935,Canadá
Nitrogenous fertilizers,Chemicals,608486,Canadá
Mixed fertilizers,Chemicals,232546,Canadá
Coloring matter of animal or vegetable origin,Chemicals,3633,Canadá
Synthetic organic coloring matter,Chemicals,4140450,Canadá
Color lakes,Chemicals,43625,Canadá
Other coloring matter,Chemicals,19010539,Canadá
Prepared pigments,Chemicals,286416,Canadá
Paints and varnishes_ nonaqueous,Chemicals,3019246,Canadá
Paints and varnishes_ aqueous,Chemicals,5099498,Canadá
Pigments_ nonaqueous,Chemicals,345387,Canadá
Artists' colors,Chemicals,252397,Canadá
Glaziers' putty,Chemicals,58049,Canadá
Ink,Chemicals,141582,Canadá
Essential oils,Chemicals,2616742,Canadá
Mixtures of odoriferous subtances,Chemicals,94633,Canadá
Perfumes,Chemicals,3514937,Canadá
Make-up preparations,Chemicals,10375900,Canadá
Hair products,Chemicals,24232647,Canadá
Dental hygiene products,Chemicals,12432667,Canadá
Toiletries,Chemicals,19418381,Canadá
Soap,Chemicals,1314455,Canadá
Cleaning products,Chemicals,11226216,Canadá
Lubricants,Chemicals,68831,Canadá
Artificial and prepared waxes,Chemicals,520689,Canadá
Polishes and creams,Chemicals,26910,Canadá
Candles,Chemicals,80662,Canadá
Modeling pastes,Chemicals,144394,Canadá
Casein,Chemicals,1056,Canadá
Peptones,Chemicals,132904,Canadá
Dextrins and other modified starches,Chemicals,734213,Canadá
Glues and adhesives,Chemicals,987458,Canadá
Enzymes,Chemicals,656316,Canadá
Prepared explosives_ except gunpowder,Chemicals,9629000,Canadá
Detonators,Chemicals,11039618,Canadá
Matches,Chemicals,87162,Canadá
Photographic film in rolls,Chemicals,4144,Canadá
Photographic film_ developed,Chemicals,1594,Canadá
Chemical preparations for photographic uses,Chemicals,1792,Canadá
Artificial graphite,Chemicals,394871,Canadá
Activated carbon,Chemicals,2487043,Canadá
Turpentines,Chemicals,36629,Canadá
Rosin and resin acids,Chemicals,2764607,Canadá
Insecticides_ rodenticides_ fungicides_ etc.,Chemicals,12456168,Canadá
Finishing agents,Chemicals,868066,Canadá
Pickling preparations for metal surfaces,Chemicals,2278975,Canadá
Anti-knock,Chemicals,746114,Canadá
Stabilizers for rubber or plastic,Chemicals,3687866,Canadá
Preparations for fire extinguishers,Chemicals,172112,Canadá
Organic composite solvents and thinners,Chemicals,9203,Canadá
Catalytic preparations,Chemicals,402852,Canadá
Refractory cements,Chemicals,55929,Canadá
Antifreezing preparation,Chemicals,4453,Canadá
Prepared culture media for micro-organisms,Chemicals,49095,Canadá
Diagnostic or laboratory reagents,Chemicals,469304,Canadá
Industrial monocarboxylic fatty acids,Chemicals,4799935,Canadá
Polymers of ethylene,Chemicals,1227437,Canadá
Polymers of propylene,Chemicals,3135974,Canadá
Polymers of styrene,Chemicals,45755098,Canadá
Polymers of vinyl chloride,Chemicals,665888,Canadá
Acrylic polymers,Chemicals,874255,Canadá
Polyacetals,Chemicals,4761829,Canadá
Polyamides,Chemicals,135453,Canadá
Amino-resins,Chemicals,818580,Canadá
Silicones in primary forms,Chemicals,636686,Canadá
Petroleum resins,Chemicals,476522,Canadá
Cellulose n.e.c.,Chemicals,532938,Canadá
Plastic waste,Chemicals,284802,Canadá
Monofilament,Chemicals,454644,Canadá
Plastic tubes and fittings,Chemicals,11698731,Canadá
Plastic floor coverings,Chemicals,45059,Canadá
Self-adhesive plastic sheets,Chemicals,6776935,Canadá
Other plates of plastics_ noncellular and not reinforced,Chemicals,42888834,Canadá
Other plastic plates_ sheets etc.,Chemicals,4041327,Canadá
Baths_ sinks etc.,Chemicals,2477842,Canadá
Packing lids,Chemicals,28421583,Canadá
Plastic household articles,Chemicals,7092520,Canadá
Plastic builders' ware,Chemicals,9168891,Canadá
Other articles of plastic,Chemicals,91349569,Canadá
Synthetic rubber,Chemicals,7477751,Canadá
Compounded rubber,Chemicals,55945,Canadá
Unvulcanized rubber rods,Chemicals,21297,Canadá
Vulcanized rubber thread and cord,Chemicals,16774,Canadá
Vulcanized rubber plates,Chemicals,2465632,Canadá
Vulcanized rubber tubes,Chemicals,46018331,Canadá
Conveyor belts of vulcanized rubber,Chemicals,17185420,Canadá
New pneumatic tires of rubber,Chemicals,47612583,Canadá
Used pneumatic tires of rubber,Chemicals,1711873,Canadá
Rubber inner tubes,Chemicals,3619,Canadá
Vulcanized rubber articles of apparel,Chemicals,663395,Canadá
Other articles of vulcanized rubber,Chemicals,67121463,Canadá
Hard rubber,Chemicals,38546,Canadá
Tanned hides of bovines or equines,Agriculture,2076882,Canadá
Bovine leather further prepared,Agriculture,50993,Canadá
Chamois leather,Agriculture,6926,Canadá
Patent leather,Agriculture,9911,Canadá
Composition leather,Agriculture,3900,Canadá
Saddlery and harnesses,Agriculture,454850,Canadá
Trunks or cases,Agriculture,7259307,Canadá
Leather apparel,Agriculture,840859,Canadá
Other articles of leather,Agriculture,3848192,Canadá
Other tanned furskins,Agriculture,28826,Canadá
Furskin apparel,Agriculture,1731,Canadá
Wood charcoal,Agriculture,278808,Canadá
Wood sawn lengthwise,Agriculture,1064751,Canadá
Sheets for veneering for plywood,Agriculture,55271,Canadá
Wood shaped along its edges,Agriculture,1210172,Canadá
Particle board and similar board,Agriculture,28177,Canadá
Plywood,Agriculture,345605,Canadá
Wooden frames,Agriculture,30138,Canadá
Packing boxes,Agriculture,544812,Canadá
Casks_ barrels_ etc. of wood,Agriculture,7448,Canadá
Wooden tools,Agriculture,82275,Canadá
Wood carpentry for construction,Agriculture,907763,Canadá
Wooden kitchenware,Agriculture,69921,Canadá
Wood marquetry_ ornaments_ etc.,Agriculture,56857,Canadá
Other articles of wood,Agriculture,17243264,Canadá
Articles of natural cork,Agriculture,45974,Canadá
Agglomerated cork,Agriculture,3305,Canadá
Products of plaiting materials,Agriculture,23534,Canadá
Basketwork,Agriculture,199172,Canadá
Newsprint,Agriculture,14103,Canadá
Paper used for graphic purposes,Agriculture,2074,Canadá
Tissue,Agriculture,7778191,Canadá
Uncoated kraft paper and paperboard,Agriculture,12292,Canadá
Other uncoated paper and paperboard,Agriculture,21771,Canadá
Transparent paper,Agriculture,128473,Canadá
Uncoated composite paper,Agriculture,11775,Canadá
Corrugated paper and paperboard,Agriculture,85227,Canadá
Paper and paperboard_ coated with kaolin,Agriculture,398686,Canadá
Cellulose wadding_ coated,Agriculture,21092948,Canadá
Cigarette paper,Agriculture,123253,Canadá
Letterstock,Agriculture,2609746,Canadá
Toilet paper,Agriculture,13084220,Canadá
Cardboard packing containers,Agriculture,6266749,Canadá
Notebooks,Agriculture,8321574,Canadá
Paper labels,Agriculture,1681793,Canadá
Bobbins_ spools_ cops of paper,Agriculture,24645,Canadá
Other paper cut to size,Agriculture,4379777,Canadá
Books_ brochures etc.,Agriculture,876474,Canadá
Children's books,Agriculture,234013,Canadá
Architectural_ engineering_ etc. drawings,Agriculture,5171,Canadá
Unused stamps,Agriculture,25706,Canadá
Transfers (decalcomanias),Agriculture,9893,Canadá
Printed or illustrated postcards,Agriculture,14056,Canadá
Calendars,Agriculture,239954,Canadá
Other printed matter,Agriculture,20762235,Canadá
Silkworm cocoons,Textiles,5479,Canadá
Woven fabrics of carded wool,Textiles,447575,Canadá
Woven fabrics of combed wool,Textiles,3127128,Canadá
Cotton waste,Textiles,35179,Canadá
Cotton_ carded or combed,Textiles,4141,Canadá
Cotton sewing thread,Textiles,1428,Canadá
Cotton yarn for retail sale,Textiles,146741,Canadá
Woven fabrics of cotton of > 85% weighing < 200 g/m2,Textiles,6730,Canadá
Woven fabrics of cotton of < 85% weighing > 200 g/m2,Textiles,165609,Canadá
Woven fabrics of cotton of < 85% weighing < 200 g/m2,Textiles,4309,Canadá
Woven fabrics of cotton of < 85% weighing > 200 g/m2,Textiles,28539,Canadá
Synthetic sowing thread,Textiles,550469,Canadá
Synthetic filament yarn,Textiles,11306018,Canadá
Synthetic monofilament >67 dtex_ thickness < 1mm,Textiles,60149,Canadá
Synthetic filament yarn for retail sale,Textiles,22104,Canadá
Woven fabrics of synthetic filament yarn,Textiles,843971,Canadá
Synthetic staple fibers,Textiles,17303,Canadá
Waste of man-made fibers,Textiles,38381,Canadá
Synthetic staple fibers sewing thread,Textiles,6123,Canadá
Yarn of synthetic staple fibers_ not for retail sale,Textiles,304986,Canadá
Yarn of synthetic staple fibers_ for retail sale,Textiles,2208,Canadá
Woven fabrics of > 85% synthetic staple fibers,Textiles,181713,Canadá
Woven fabrics of < 85% synthetic staple fibers weighing < 170 g/m2,Textiles,88029,Canadá
Woven fabrics of < 85% synthetic staple fibers weighing > 170 g/m2,Textiles,249480,Canadá
Other woven fabrics of synthetic staple fibers,Textiles,634863,Canadá
Woven fabrics of artificial staple fibers,Textiles,2400,Canadá
Wadding of textile materials,Textiles,2976083,Canadá
Felt,Textiles,911001,Canadá
Nonwoven textiles,Textiles,4456633,Canadá
Rubber textiles,Textiles,2472,Canadá
Metallised yarn,Textiles,2737,Canadá
Gimp yarn,Textiles,72886,Canadá
Twine and ropes of baste fibers,Textiles,385322,Canadá
Nets,Textiles,152804,Canadá
Articles of yarn_ rope etc not elsewhere clasified,Textiles,331679,Canadá
Carpets_ knotted,Textiles,2137,Canadá
Woven carpets and rugs,Textiles,9621,Canadá
Carpets_ tufted,Textiles,14121580,Canadá
Woven pile fabrics,Textiles,226059,Canadá
Lace and net fabrics,Textiles,18353,Canadá
Narrow woven fabrics,Textiles,110830,Canadá
Labels and badges of textiles,Textiles,145037,Canadá
Braids in piece,Textiles,85023,Canadá
Embroidery in the piece,Textiles,149094,Canadá
Quilted textile products,Textiles,12590,Canadá
Stiffened textiles,Textiles,93853,Canadá
Tire cord fabric,Textiles,30159,Canadá
Textile fabrics impregnated with plastics,Textiles,298783,Canadá
Rubberized textile fabrics,Textiles,104414,Canadá
Other textile fabrics impregnated_ coated or covered,Textiles,20409,Canadá
Textile hosepiping and similar tubing,Textiles,5774,Canadá
Transmission belts or belting_ of textile material,Textiles,99494,Canadá
Textile articles for technical use,Textiles,10479879,Canadá
Pile fabrics_ knit,Textiles,62732,Canadá
Other knitted fabrics,Textiles,318820,Canadá
Men's overcoats_ knit,Textiles,1742119,Canadá
Women's overcoats_ knit,Textiles,230263,Canadá
Men's suits_ knit,Textiles,596660,Canadá
Women's suits_ knit,Textiles,3622466,Canadá
Men's shirts_ knit,Textiles,699929,Canadá
Women's shirts_ knit,Textiles,1154161,Canadá
Men's undergarments_ knit,Textiles,1618281,Canadá
Women's undergarments_ knit,Textiles,1247169,Canadá
T-shirts_ knit,Textiles,38132938,Canadá
Sweaters_ pullovers_ sweatshirts etc._ knit,Textiles,19753482,Canadá
Babies' garments_ knit,Textiles,80350,Canadá
Activewear_ knit,Textiles,1215837,Canadá
Garments knit with impregnated fibers,Textiles,195840,Canadá
Other garments_ knit,Textiles,1928847,Canadá
Socks_ stockings_ etc._ knit,Textiles,4529801,Canadá
Gloves_ knit,Textiles,3581815,Canadá
Other clothing accesories_ knit,Textiles,769197,Canadá
Men's overcoats_ not knit,Textiles,4481960,Canadá
Womens overcoats_ not knit,Textiles,472790,Canadá
Men's suits and pants,Textiles,52075757,Canadá
Women's suits and pants,Textiles,13733081,Canadá
Men's shirts,Textiles,4680686,Canadá
Women's shirts,Textiles,583784,Canadá
Men's undergarments,Textiles,49943,Canadá
Women's undergarments,Textiles,165876,Canadá
Babies' garments,Textiles,26416,Canadá
Garments made of textile felts and nonwoven fabric,Textiles,5021081,Canadá
Activewear,Textiles,33351239,Canadá
Brassieres,Textiles,5795489,Canadá
Handkerchiefs,Textiles,3485,Canadá
Shawls_ scarves_ etc.,Textiles,13873,Canadá
Gloves,Textiles,22878,Canadá
Other clothing accesories,Textiles,474857,Canadá
Blankets,Textiles,419607,Canadá
House linen,Textiles,1163177,Canadá
Curtains,Textiles,10161912,Canadá
Other furnishing articles,Textiles,335867,Canadá
Bags for packing goods,Textiles,2750107,Canadá
Tents_ tarpaulins_ etc.,Textiles,55315,Canadá
Other made up articles,Textiles,16016957,Canadá
Used clothes and textiles,Textiles,1791,Canadá
Waterproof footwear,Textiles,536119,Canadá
Other footwear of rubber or plastics,Textiles,728659,Canadá
Leather footwear,Textiles,9762296,Canadá
Textile footwear,Textiles,1817019,Canadá
Other footwear,Textiles,80768,Canadá
Parts of footwear,Textiles,713713,Canadá
Hats,Textiles,380596,Canadá
Hats_ knit,Textiles,920499,Canadá
Other headgear,Textiles,3629682,Canadá
Headbands,Textiles,309530,Canadá
Umbrellas,Textiles,4818,Canadá
Walking sticks,Textiles,1701,Canadá
Artificial flowers,Textiles,84746,Canadá
Worked building stone,Stone,1176045,Canadá
Worked slate,Stone,1039,Canadá
Grindstones,Stone,1546322,Canadá
Natural or artificial abrasive powder,Stone,4358888,Canadá
Mineral wools and insulating materials,Stone,1693344,Canadá
Plaster articles,Stone,1105871,Canadá
Articles of cement_ of concrete or of artificial stone,Stone,8587046,Canadá
Asbestos-cement or cellulose fiber-cement,Stone,184054,Canadá
Asbestos fibres,Stone,31961,Canadá
Friction material and articles thereof,Stone,442177,Canadá
Articles of stone or of other mineral substances,Stone,1045201,Canadá
Bricks_ tiles and similar refractory ceramic constructional goods,Stone,1346436,Canadá
Other refractory ceramic goods,Stone,11951389,Canadá
Ceramic building bricks,Stone,3762,Canadá
Architectural ceramic ornaments,Stone,7441,Canadá
Unglazed ceramic flags and pavers,Stone,2228317,Canadá
Ceramic wares for technical ware,Stone,201246,Canadá
Ceramic sinks_ washbasins_ and similar sanitary fixtures,Stone,38129665,Canadá
Porcelain or china household articles,Stone,201583,Canadá
Ceramic household articles,Stone,1132206,Canadá
Ornamental ceramic articles,Stone,317421,Canadá
Other ceramic articles,Stone,85442,Canadá
Cullet and other scraps of glass,Stone,86632,Canadá
Glass balls,Stone,9381,Canadá
Glass_ cast or rolled,Stone,384088,Canadá
Drawn and blown glass,Stone,76148,Canadá
Float glass,Stone,1427325,Canadá
Worked glass,Stone,954565,Canadá
Safety glass,Stone,14884791,Canadá
Multiple-walled insulating glass,Stone,936741,Canadá
Glass mirrors,Stone,4386229,Canadá
Glass containers for conveyance,Stone,12938033,Canadá
Glass envelopes,Stone,1658,Canadá
Glassware for interior decorative use,Stone,6077099,Canadá
Glass paving blocks or other molded products,Stone,196364,Canadá
Laboratory_ hygienic or pharmaceutical glassware,Stone,5614880,Canadá
Glass beads,Stone,16235,Canadá
Glass fibers,Stone,24919378,Canadá
Other articles of glass,Stone,7108,Canadá
Precious stones,Stone,82472,Canadá
Synthetic precious stones,Stone,4876,Canadá
Silver,Stone,22131666,Canadá
Scrap of precious metal,Stone,1120297,Canadá
Jewelry of precious metal,Stone,15370375,Canadá
Goldsmith and silversmith wares,Stone,25719,Canadá
Other articles of precious metals,Stone,611117,Canadá
Articles of precious stones,Stone,92553,Canadá
Imitation jewelry,Stone,300319,Canadá
Coin,Stone,1122,Canadá
Ferroalloys,Metals,12439699,Canadá
Ferrous waste and scrap,Metals,42605,Canadá
Semifinished products of iron or nonalloy steel,Metals,61887921,Canadá
Flat-rolled iron_ width > 600mm_ hot-rolled_ not clad,Metals,106893,Canadá
Flat-rolled iron_ width > 600mm_ cold-rolled_ not clad,Metals,234552,Canadá
Flat rolled iron_ width > 600mm_ clad,Metals,686429,Canadá
Flat-rolled iron_ width < 600mm_ not clad,Metals,803244,Canadá
Flat-rolled iron_ width < 600mm_ clad,Metals,159881,Canadá
Hot rolled bars of iron,Metals,26055073,Canadá
Other bars of iron_ not further worked than forged,Metals,1951184,Canadá
Other bars and rods of iron or nonalloy steel,Metals,206073,Canadá
Angles of iron or nonalloy steel,Metals,2491996,Canadá
Wire of iron or nonalloy steel,Metals,1150930,Canadá
Stainless steel in ingots,Metals,104204,Canadá
Flat-rolled products of stainless steel of a width > 600 mm,Metals,824975,Canadá
Flat-rolled products of stainless steel of a width < 600 mm,Metals,46308,Canadá
Bars of stainless steel_ hot-rolled,Metals,13896,Canadá
Other bars and rods of stainless steel,Metals,154036,Canadá
Wire of stainless steel,Metals,90877,Canadá
Other alloy steel in primary form,Metals,702071,Canadá
Flat-rolled products of other alloy steel_ width > 600 mm,Metals,126776,Canadá
Flat-rolled products of other alloy steel_ width < 600 mm,Metals,6071,Canadá
Other bars and rods of other alloy steel,Metals,1588353,Canadá
Wire of other alloy steel,Metals,115545,Canadá
Sheet piling of iron or steel,Metals,34605,Canadá
Railway construction material of iron or steel,Metals,176797,Canadá
Tubes of cast iron,Metals,8051,Canadá
Tubes_ seamless_ of iron or steel,Metals,192082807,Canadá
Other tubes and pipes_ diameter > 406.4 mm_ of iron or steel,Metals,1297562,Canadá
Other tubes_ pipes and hollow profiles of iron or steel,Metals,3238500,Canadá
Tube or pipe fittings of iron or steel,Metals,20244088,Canadá
Structures and their parts_ of iron or steel,Metals,11866150,Canadá
Tanks etc. > 300 liters_ iron or steel,Metals,1273917,Canadá
Tanks etc. < 300 liters_ iron or steel,Metals,1855068,Canadá
Containers for compressed or liquified gas,Metals,1771161,Canadá
Wire of iron or steel_ not insulated,Metals,2931964,Canadá
Barbed wire of iron or steel,Metals,160621,Canadá
Cloth of iron or steel wire,Metals,2510437,Canadá
Chain of iron or steel,Metals,509181,Canadá
Anchors of iron or steel,Metals,30675,Canadá
Nails and similar articles of iron or steel,Metals,930288,Canadá
Screws and similar articles of iron or steel,Metals,11862030,Canadá
Articles for sewing of iron or steel,Metals,34026,Canadá
Springs of iron or steel,Metals,26619159,Canadá
Stoves and similar non-electric appliances of iron or steel,Metals,13194968,Canadá
Radiators for central heating of iron or steel,Metals,37713608,Canadá
Household articles of iron or steel,Metals,905009,Canadá
Sanitary ware and parts of iron or steel,Metals,1487652,Canadá
Other cast articles of iron or steel,Metals,1480487,Canadá
Other articles of iron or steel,Metals,29567419,Canadá
Copper mattes,Metals,23680498,Canadá
Unrefined copper,Metals,2472,Canadá
Refined copper and copper alloys,Metals,30024422,Canadá
Copper waste and scrap,Metals,62414,Canadá
Copper bars_ rods and profiles,Metals,2596301,Canadá
Copper wire,Metals,404865,Canadá
Copper plates_ sheets and strip > 0.15 mm,Metals,167513,Canadá
Copper foil < 0.15 mm thick,Metals,269249,Canadá
Copper tubes and pipes,Metals,13535145,Canadá
Copper tube or pipe fittings,Metals,1678584,Canadá
Copper wire_ uninsulated,Metals,411935,Canadá
Screws and similar articles of copper,Metals,234424,Canadá
Household articles of copper,Metals,321771,Canadá
Other articles of copper,Metals,1166684,Canadá
Nickel bars_ wire etc.,Metals,21399,Canadá
Nickel plates,Metals,24121,Canadá
Nickel tubes and pipes,Metals,84601,Canadá
Other articles of nickel,Metals,859990,Canadá
Waste or scrap_ aluminium,Metals,187088,Canadá
Aluminum bars,Metals,789565,Canadá
Aluminum wire,Metals,14159,Canadá
Aluminum plates > 0.2 mm,Metals,759271,Canadá
Aluminum foil < 0.2 mm,Metals,97052,Canadá
Aluminum tubes and pipes,Metals,1459111,Canadá
Aluminum tube or pipe fittings,Metals,1509353,Canadá
Aluminum structures (bridges_ towers etc),Metals,9072556,Canadá
Aluminum containers_ >300 liters,Metals,1402,Canadá
Aluminum containers_ <300 liters,Metals,1290701,Canadá
Aluminum containers for compressed or liquefied gas,Metals,3983,Canadá
Aluminum wire_ not insulated,Metals,162753,Canadá
Household articles of aluminum,Metals,168296,Canadá
Other articles of aluminum,Metals,18810468,Canadá
Other articles of lead,Metals,21036,Canadá
Unwrought zinc,Metals,82490,Canadá
Other articles of zinc,Metals,1589056,Canadá
Tin bars and wire,Metals,35045,Canadá
Other articles of tin,Metals,258346,Canadá
Molybdenum,Metals,2512,Canadá
Magnesium,Metals,49546,Canadá
Titanium,Metals,35257,Canadá
Manganese,Metals,233694,Canadá
Handtools for gardening,Metals,1412105,Canadá
Handsaws,Metals,463219,Canadá
Pliers_ pincers and other metal handtools,Metals,547973,Canadá
Wrenches,Metals,192917,Canadá
Hand tools n.e.c.,Metals,4064151,Canadá
Retail tool sets,Metals,6520,Canadá
Interchangeable tools for hand tools,Metals,8785001,Canadá
Knives and blades for machines,Metals,516701,Canadá
Articles for utensils_ of cermet,Metals,521508,Canadá
Hand-operated appliances_ food preparation_ <10kg,Metals,36187,Canadá
Knife sets,Metals,116205,Canadá
Razors,Metals,15498070,Canadá
Scissors,Metals,60961,Canadá
Other cutlery,Metals,5697,Canadá
Cutlery,Metals,9896,Canadá
Padlocks and locks,Metals,61478537,Canadá
Base metal mountings_ fittings and similar articles,Metals,54040471,Canadá
Safes,Metals,2802313,Canadá
Paper trays and similar office equipment_ of base metal,Metals,16641,Canadá
Paper clips and similar office articles_ of metal,Metals,11514,Canadá
Ornaments_ statuettes_ etc. of metal,Metals,202635,Canadá
Flexible tubing of base metal,Metals,640443,Canadá
Clasps_ buckles etc. of metal,Metals,248088,Canadá
Stoppers_ caps and lids of metal,Metals,9702670,Canadá
Sign plates and similar plates of base metal,Metals,399463,Canadá
Wire etc. used for welding,Metals,1314255,Canadá
Steam boilers,Machinery,2280713,Canadá
Central heating boilers,Machinery,45001,Canadá
Auxiliary parts for use with boilers,Machinery,1185816,Canadá
Water gas generators,Machinery,4874,Canadá
Steam turbines,Machinery,226431,Canadá
Spark-ignition reciprocating internal combustion piston engines,Machinery,513188991,Canadá
Compression-ignition internal combustion piston engines,Machinery,32356289,Canadá
Parts suitable for use with spark-ignition engines,Machinery,485521851,Canadá
Hydraulic turbines_ water wheels and regulators,Machinery,1035698,Canadá
Gas turbines,Machinery,22639548,Canadá
Other engines and motors,Machinery,25631509,Canadá
Pumps for liquids,Machinery,120100950,Canadá
Pumps_ compressors_ fans_ etc.,Machinery,96907618,Canadá
Air conditioners,Machinery,141904511,Canadá
Furnace burners,Machinery,479733,Canadá
Industrial furnaces,Machinery,3235579,Canadá
Refrigerators_ freezers,Machinery,251660283,Canadá
Equipment for temperature change of materials,Machinery,38777503,Canadá
Centrifuges,Machinery,158196012,Canadá
Dish washing machines,Machinery,793530,Canadá
Weighing machinery,Machinery,562361,Canadá
Sprays and powder dispersers,Machinery,31822462,Canadá
Pulleys and winches,Machinery,43008507,Canadá
Ships' derricks; cranes,Machinery,2040828,Canadá
Fork-lift trucks,Machinery,281303,Canadá
Other lifting machinery,Machinery,30559073,Canadá
Self-propelled bulldozers_ excavators and road rollers,Machinery,677767,Canadá
Other moving_ excavating or boring machinery,Machinery,9685826,Canadá
Parts for use with hoists and excavation machinery,Machinery,30907046,Canadá
Machinery for soil preparation or cultivation,Machinery,2995995,Canadá
Harvesting or agricultural machinery,Machinery,14126348,Canadá
Dairy machinery,Machinery,45608,Canadá
Other agricultural machinery,Machinery,168082,Canadá
Machinery for processing grain,Machinery,18811,Canadá
Machinery for the industrial preparation of food or drink,Machinery,580815,Canadá
Machinery for making paper,Machinery,230341,Canadá
Other machinery for making paper,Machinery,229031,Canadá
Machinery for making printing components,Machinery,20350,Canadá
Printers and copiers,Machinery,21263662,Canadá
Household- or laundry-type washing machines,Machinery,45856390,Canadá
Machinery for processing fabrics,Machinery,70316676,Canadá
Sewing machines,Machinery,9013,Canadá
Machinery for preparing leather,Machinery,9554,Canadá
Machines used in metallurgy,Machinery,115042,Canadá
Metal-rolling mills,Machinery,311327,Canadá
Machines for working materials by laser and similar means,Machinery,305817,Canadá
Lathes for removing metal,Machinery,64885,Canadá
Machines with grinding stones for finishing metal,Machinery,52177,Canadá
Other machine tools for planing and cutting metals,Machinery,192077,Canadá
Machine tools for molding and forging metals,Machinery,625552,Canadá
Other machine tools for working metal_ without removal,Machinery,3276,Canadá
Machine tools for working stone,Machinery,33783,Canadá
Machine tools for working wood,Machinery,1464646,Canadá
Parts and accessories for metal working machines,Machinery,1392043,Canadá
Tools for hand working_ pneumatic_ hydraulic motors,Machinery,2709565,Canadá
Machinery for soldering,Machinery,1034779,Canadá
Cash registers_ calculators_ etc.,Machinery,894259,Canadá
Computers,Machinery,938899819,Canadá
Other office machines,Machinery,2163686,Canadá
Parts and accessories for office machines,Machinery,155157377,Canadá
Machinery for working minerals,Machinery,2554733,Canadá
Machines for assembling electric lamps,Machinery,25878,Canadá
Automatic goods-vending machines,Machinery,884110,Canadá
Machinery for working rubber or plastics,Machinery,2173250,Canadá
Machines n.e.c.,Machinery,35345689,Canadá
Molding boxes for metal foundry,Machinery,12950653,Canadá
Appliances for thermostatically controlled valves,Machinery,162217965,Canadá
Ball or roller bearings,Machinery,13572063,Canadá
Transmission shafts,Machinery,48204398,Canadá
Gaskets and similar joints of metal sheeting,Machinery,3280025,Canadá
Machinery parts_ not containing electrical features_ n.e.c.,Machinery,4582662,Canadá
Electric motors and generators,Electronics,155829260,Canadá
Electric generating sets and rotary converters,Electronics,119441,Canadá
Parts for use with electric generators,Electronics,6132375,Canadá
Electrical transformers,Electronics,141861958,Canadá
Electromagnets,Electronics,879465,Canadá
Primary cells and primary batteries,Electronics,158181,Canadá
Batteries,Electronics,40548078,Canadá
Vacuum cleaners,Electronics,53711008,Canadá
Electromechanical domestic appliances,Electronics,16349926,Canadá
Electric shavers and hair clippers,Electronics,2025789,Canadá
Electrical ignition equipment,Electronics,87821703,Canadá
Electrical lighting equipment used for motor vehicles,Electronics,229661398,Canadá
Portable electric lamps,Electronics,67391,Canadá
Industrial electric furnaces,Electronics,759440,Canadá
Electric soldering machines,Electronics,11724996,Canadá
Electric heaters,Electronics,100491003,Canadá
Telephones,Electronics,533157622,Canadá
Microphones,Electronics,103427764,Canadá
Sound reproducing apparatus,Electronics,24372,Canadá
Magnetic tape recorders,Electronics,2599238,Canadá
Video recording apparatus,Electronics,20129513,Canadá
Parts and accessories for video or sound equipment,Electronics,96984,Canadá
Sound storage media,Electronics,104913202,Canadá
Tapes_ cassettes_ records and compact disks,Electronics,4579804,Canadá
Transmission apparatus for radio_ telephone and TV,Electronics,500302204,Canadá
Radar,Electronics,55802201,Canadá
Reception apparatus for radio broadcasting,Electronics,180716233,Canadá
Monitors and projectors,Electronics,648535368,Canadá
Parts of radios_ telephones_ and T.V.s,Electronics,16324317,Canadá
Electric signal and traffic controls,Electronics,3446492,Canadá
Electric sound or visual signaling apparatus,Electronics,48376202,Canadá
Electrical capacitors,Electronics,7618740,Canadá
Electrical resistors,Electronics,10188918,Canadá
Electronic printed circuits,Electronics,3002309,Canadá
Electrical apparatus for > 1k volts,Electronics,24482102,Canadá
Electrical apparatus for < 1k volts,Electronics,250562986,Canadá
Electrical boards,Electronics,302743704,Canadá
Parts for electrical apparatus,Electronics,37336017,Canadá
Electrical filament,Electronics,3921517,Canadá
Thermionic_ cold cathode or photocathode tubes,Electronics,10919,Canadá
Semiconductor devices,Electronics,4053515,Canadá
Electronic integrated circuits,Electronics,18709034,Canadá
Electrical machines with individual functions n.e.c.,Electronics,109090259,Canadá
Insulated electrical wire,Electronics,824063156,Canadá
Carbon articles for eletrical purposes,Electronics,3602283,Canadá
Electrical insulators of any material,Electronics,2512091,Canadá
Insulating fittings for electrical machines,Electronics,795723,Canadá
Waste and scrap of batteries,Electronics,324890,Canadá
Railway cars_ not self-propelled,Vehicles,68176446,Canadá
